F0avg,F0std,F0max,F0min,F0skew,F0kurt,F0tiltavg,F0mseavg,F0tiltstd,F0msestd,F0tiltmax,F0msemax,F0tiltmin,F0msemin,F0tiltskw,F0mseskw,F0tiltku,F0mseku,1F0mean,1F0std,1F0max,1F0min,1F0skw,1F0ku,lastF0avg,lastF0std,lastF0max,lastF0min,lastF0skw,lastF0ku,avgEvoiced,stdEvoiced,skwEvoiced,kurtosisEvoiced,avgtiltEvoiced,stdtiltEvoiced,skwtiltEvoiced,kurtosistiltEvoiced,avgmseEvoiced,stdmseEvoiced,skwmseEvoiced,kurtosismseEvoiced,avg1Evoiced,std1Evoiced,max1Evoiced,min1Evoiced,skw1Evoiced,kurtosis1Evoiced,avglastEvoiced,stdlastEvoiced,maxlastEvoiced,minlastEvoiced,skwlastEvoiced,kurtosislastEvoiced,avgEunvoiced,stdEunvoiced,skwEunvoiced,kurtosisEunvoiced,avgtiltEunvoiced,stdtiltEunvoiced,skwtiltEunvoiced,kurtosistiltEunvoiced,avgmseEunvoiced,stdmseEunvoiced,skwmseEunvoiced,kurtosismseEunvoiced,avg1Eunvoiced,std1Eunvoiced,max1Eunvoiced,min1Eunvoiced,skw1Eunvoiced,kurtosis1Eunvoiced,avglastEunvoiced,stdlastEunvoiced,maxlastEunvoiced,minlastEunvoiced,skwlastEunvoiced,kurtosislastEunvoiced,Vrate,avgdurvoiced,stddurvoiced,skwdurvoiced,kurtosisdurvoiced,maxdurvoiced,mindurvoiced,avgdurunvoiced,stddurunvoiced,skwdurunvoiced,kurtosisdurunvoiced,maxdurunvoiced,mindurunvoiced,avgdurpause,stddurpause,skwdurpause,kurtosisdurpause,maxdurpause,mindurpause,PVU,PU,UVU,VVU,VP,UP,id
239.224609375,40.32060241699219,280.27911376953125,146.76434326171875,-1.0403599739074707,-0.36564038584103375,-202.42783463132193,277.8135174450215,119.09758081206061,124.31838435940249,-83.33025381926132,402.131901804424,-321.52541544338254,153.49513308561902,0.0,3.029521752855152e-16,-2.0,-2.0,255.49710083007812,27.79239273071289,280.27911376953125,176.27694702148438,-1.7556973695755005,1.779166838373155,209.63829040527344,42.667022705078125,263.6994323730469,146.76434326171875,-0.16189737617969513,-1.5745863226517125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6185770750988142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OAF_bar_angry.wav
258.2026672363281,39.35588455200195,339.7732849121094,153.06378173828125,-1.0921459197998047,0.8339583540551567,-328.4133103330033,304.8134895035381,224.62871467717846,105.30111243038775,-103.78459565582483,410.1146019339259,-553.0420250101818,199.5123770731504,4.108415113248711e-16,8.973332796983904e-16,-2.0,-2.0,267.56622314453125,31.37660026550293,339.7732849121094,172.42120361328125,-1.0362257957458496,2.043833042217835,231.44973754882812,46.85316848754883,280.3135986328125,153.06378173828125,-0.4993608593940735,-1.3402659346764088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6484978882779504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OAF_base_angry.wav
244.6837921142578,30.38844871520996,284.4302978515625,169.4366455078125,-1.0198746919631958,-0.0072475937026532655,-236.21187259393434,216.59832118052176,155.79277196219437,101.58808544430511,-80.41910063173998,318.1864066248269,-392.0046445561287,115.01023573621666,0.0,0.0,-2.0,-2.0,247.74542236328125,26.4273681640625,282.3233947753906,176.11256408691406,-1.32599937915802,1.0646721890878768,236.64715576171875,37.74952697753906,284.4302978515625,169.4366455078125,-0.40044739842414856,-1.28549324779399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6223298496048942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OAF_bath_angry.wav
266.1494140625,38.80510330200195,331.29534912109375,154.57138061523438,-1.1303966045379639,0.8877174686441021,-259.98066700130533,387.6919876288763,165.32194112367574,20.024486755657108,-94.6587258776296,407.7164743845334,-425.3026081249811,367.6675008732192,0.0,0.0,-2.0,-2.0,267.4022521972656,28.190879821777344,302.05621337890625,169.16636657714844,-1.665386438369751,2.503813824908515,263.894287109375,52.706016540527344,331.29534912109375,154.57138061523438,-0.7128108739852905,-0.7032912423086559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7167518055310904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OAF_bean_angry.wav
244.6575469970703,33.11604309082031,307.4284973144531,171.2565155029297,-0.5645718574523926,-0.3705794645456453,-251.9106207716821,289.1719191057384,162.09980721229195,111.23144901183932,-89.81081355939014,400.40336811757777,-414.010427983974,177.94047009389914,2.1865158761315332e-16,7.613246089474424e-16,-2.0,-2.0,245.9872283935547,29.76534080505371,307.4284973144531,171.2565155029297,-0.8489605784416199,0.42828632637967257,241.12557983398438,40.486602783203125,295.8218688964844,171.33531188964844,-0.11270736902952194,-1.3336796017556998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6467627423969482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OAF_beg_angry.wav
278.6638488769531,37.80036544799805,325.59002685546875,173.7773895263672,-1.4408237934112549,1.2344998656230919,-376.82032697863247,341.6828619714072,264.8437332295345,188.85060669990617,-111.97659374909796,530.5334686713134,-641.664060208167,152.83225527150103,-3.0080307896437114e-16,0.0,-2.0,-2.0,281.2234191894531,35.35898971557617,321.3832702636719,175.40296936035156,-1.802145004272461,2.5894150128149223,269.4271545410156,44.32218933105469,325.59002685546875,173.7773895263672,-0.5815615057945251,-0.8759270760997886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6990007730409139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OAF_bite_angry.wav
243.3883514404297,34.54849624633789,285.0270690917969,153.06651306152344,-1.3993170261383057,0.9285797866596992,-192.5205603797366,395.6184063500897,82.1695290252952,179.06680440493847,-110.3510313544414,574.6852107550282,-274.6900894050318,216.55160194515125,-4.196698267483194e-16,2.4330225780233766e-16,-2.0,-2.0,238.66485595703125,35.453086853027344,274.34600830078125,153.06651306152344,-1.3533408641815186,0.40857731308301526,262.75482177734375,21.62032127380371,285.0270690917969,214.8604278564453,-0.7908815145492554,-0.5799697289528938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7538209775527218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OAF_boat_angry.wav
234.31826782226562,35.2053337097168,280.8218994140625,154.3694610595703,-0.8995124697685242,-0.37125507464152596,-177.06675534449568,295.24361357440245,99.61320271245252,96.95695191414002,-77.45355263204314,392.20056548854245,-276.6799580569482,198.2866616602624,4.1221849829195836e-16,-3.8317267961587127e-16,-2.0000000000000004,-2.0,244.1268768310547,26.986988067626953,280.8218994140625,163.68116760253906,-1.130264401435852,0.8048014782058179,217.5619354248047,40.8343391418457,267.0477600097656,154.3694610595703,-0.2650580108165741,-1.5086779126604726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6004426955238563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OAF_bone_angry.wav
271.5116271972656,29.65494155883789,308.8553771972656,187.0883331298828,-1.170903205871582,0.8469297705539569,-330.01453366734575,314.4551874987873,243.44687176885193,60.54376536827324,-86.56766189849378,374.99895286706055,-573.4614054361977,253.91142213051407,3.8729223119406727e-16,-7.21281111516253e-16,-2.0,-2.0,271.9242858886719,28.193050384521484,308.8553771972656,187.0883331298828,-1.3607232570648193,1.643008423276477,269.7309875488281,35.220523834228516,307.7517395019531,199.914306640625,-0.6486002802848816,-0.9571934183431745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6535671262213893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OAF_book_angry.wav
268.59417724609375,26.85579490661621,319.6085510253906,195.7485809326172,-0.9473119378089905,0.7303158064384547,-241.7596690855757,218.13428740008587,172.07400750530257,106.91443633643452,-69.6856615802731,325.0487237365204,-413.83367659087827,111.21985106365135,0.0,1.905158386265338e-16,-2.0,-2.0,271.6499938964844,23.76845932006836,319.6085510253906,195.7485809326172,-1.1958763599395752,2.584730738668786,259.5442199707031,32.780296325683594,299.5452575683594,197.7325897216797,-0.3020857572555542,-1.2888585540038715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6974432223968005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1599901695748341,0.019988531170639784,0.0,-2.0,0.1799787007454739,0.14000163840419433,0.0,0.0,0.0,0.0,0.0,0.0,OAF_bought_angry.wav
